oligos_id,total_per_sample
1015G..pool789,74492
1015H..pool789,112538
1015J..pool870,61342
1015P..pool604,5038
1015Q..pool754,86398
1015R..pool754,54242
1015S..pool754,69420
1015T..pool754,46650
1015U..pool754,47656
1015V..pool754,77206
1015W..pool754,43988
1015X..pool754,57522
1016..pool203,64166
1016A..pool483,25358
1017..pool535,68800
1017A..pool483,24238
1018..pool203,62852
1019..pool203,18454
101A..pool536,132184
101B..pool536,136958
101C..pool536,26916
1020..pool535,29912
1021..pool535,12138
1021A..pool644,269696
1021C..pool870,126184
1022A..pool644,327066
1022C..pool754,97428
1023..pool203,16874
1024..pool203,87842
1024A..pool644,242488
1024G..pool604,55254
1025..pool203,68828
1027..pool203,34908
1028..pool203,58610
1028A..pool644,422368
1029..pool203,40132
1029B..pool644,277548
1029E..pool870,393954
1030..pool203,74262
1031..pool535,128584
1032A..pool644,308472
1033..pool535,28868
1034..pool535,97308
1035..pool203,82232
1036..pool203,22920
1036B..pool644,281374
1036C..pool676,64052
1036D..pool676,87286
1036E..pool676,78764
1036F..pool676,121322
1037..pool203,82248
1037E..pool754,153794
1037F..pool754,107428
1037G..pool754,78648
1038A..pool870,103880
1039..pool535,12596
103A..pool536,38854
103B..pool536,126966
103C..pool536,75792
103D..pool536,101666
103E..pool536,203598
103F..pool502,30850
1040..pool535,43464
1041..pool535,45386
1042..pool203,5970
1042A..pool555,20594
1042AA..pool555,49116
1042B..pool555,114726
1042BB..pool715,388404
1042C..pool555,45270
1042CC..pool715,219700
1042D..pool555,5708
1042DD..pool715,267890
1042E..pool555,4166
1042F..pool555,30660
1042G..pool555,20820
1042H..pool555,73434
1042HH..pool715,334188
1042I..pool556,133888
1042II..pool715,333128
1042J..pool556,91760
1042JJ..pool715,236282
1042K..pool556,178636
1042KK..pool715,152050
1042L..pool556,116080
1042M..pool556,94586
1042N..pool556,89198
1042O..pool556,44312
1042P..pool556,53992
1042Q..pool556,47540
1042R..pool556,61292
1042S..pool556,58658
1042T..pool556,63862
1042U..pool556,32956
1042V..pool556,52494
1042W..pool556,68468
1042X..pool556,117366
1042Y..pool556,141022
1042Z..pool556,109606
1043..pool203,70086
1044..pool203,16106
1044A..pool556,83078
1044B..pool556,97314
1044C..pool556,67100
1044D..pool556,72226
1044E..pool556,133338
1044F..pool556,80672
1044G..pool556,70924
1044H..pool556,83058
1044I..pool556,57502
1044J..pool556,45486
1044K..pool556,53142
1044L..pool556,96166
1044M..pool556,51210
1044N..pool556,44128
1044O..pool556,32564
1044P..pool556,68358
1044Q..pool556,65158
1044R..pool556,69466
1044S..pool556,62474
1045..pool535,62440
1046A..pool556,109058
1046B..pool556,97612
1046C..pool556,167348
1046D..pool556,38490
1046E..pool556,122454
1046F..pool556,50978
1046G..pool556,112840
1046H..pool556,105688
1046I..pool556,112808
1046J..pool556,86942
1046L..pool556,90782
1046M..pool556,88896
1046N..pool556,80194
1046O..pool556,37170
1046P..pool556,77896
1046Q..pool556,77574
1046R..pool557,3130
1046S..pool557,25876
1046T..pool557,9160
1046U..pool557,3444
1046V..pool557,15722
1046W..pool557,38966
1046Y..pool715,273668
1047..pool203,65884
1048..pool535,90258
1049..pool535,114938
1049A..pool644,240884
1049B..pool644,276730
1049C..pool644,123242
1049F..pool592,37488
1049G..pool685,101810
1049H..pool685,53964
104A..pool536,133388
104B..pool536,127862
104C..pool536,122168
1050..pool203,103226
1050A..pool644,434332
1050E..pool685,80928
1051..pool535,83296
1052..pool203,81774
1053..pool203,27616
1054..pool535,57394
1054E..pool685,67776
1056..pool535,59918
1057..pool535,110288
1058..pool553,842192
1058A..pool644,494184
105C..pool480,7540
1063A..pool644,578386
1063B..pool644,404576
1063C..pool870,156464
1063E..pool870,186948
1064A..pool557,10382
1064C..pool557,31778
1064D..pool557,38676
1064E..pool557,53038
1064F..pool557,25334
1064G..pool557,6712
1064H..pool557,3418
1064I..pool557,31408
1064J..pool557,4378
1064K..pool557,25118
1064L..pool557,4756
1064M..pool557,60028
1064N..pool557,3512
1064O..pool557,26474
1064P..pool557,51272
1064Q..pool557,1974
1064R..pool557,38472
1064S..pool557,4434
1064T..pool557,43388
1064V..pool557,9152
1064W..pool557,10848
1065..pool535,127840
1066A..pool557,37240
1066B..pool557,5838
1066C..pool557,47040
1066D..pool557,15636
1066E..pool557,5762
1066F..pool557,51520
1066G..pool557,1734
1066I..pool557,4590
1066J..pool557,11088
1066L..pool557,40558
1066N..pool557,24988
1066S..pool557,11876
1067..pool535,35222
1067A..pool644,318066
1068..pool535,58338
1069..pool535,58382
1070..pool535,74078
1070A..pool676,24522
1070B..pool676,109398
1070C..pool676,85768
1071..pool535,110748
1071A..pool644,299532
1072..pool535,35026
1072A..pool676,143876
1073..pool535,80024
1074..pool535,37670
1075..pool535,79064
1075A..pool557,1596
1075B..pool557,1414
1075C..pool557,36614
1075D..pool557,8782
1075E..pool557,134400
1075F..pool554,79976
1075G..pool554,16252
1075H..pool554,95008
1075I..pool554,124594
1075J..pool554,42348
1075K..pool554,107026
1075L..pool554,23922
1076..pool535,26918
1077..pool535,100532
1078..pool535,90790
1079..pool535,31566
107C..pool480,36818
107D..pool480,19102
107E..pool502,122108
1080..pool535,144708
1080A..pool554,102694
1080C..pool554,196086
1080D..pool554,143022
1080F..pool554,22492
1080G..pool554,70706
1080I..pool554,57344
1080J..pool554,63728
1080R..pool554,13496
1080V..pool554,75580
1080W..pool554,45332
1081..pool535,73414
1082..pool535,39948
1083A..pool550,43598
1083B..pool550,38870
1086..pool203,35732
1086A..pool644,361930
1086C..pool554,71968
1087..pool536,84280
1088..pool553,869088
1088M..pool685,68472
1088N..pool685,74610
1089E..pool685,97260
108A..pool536,85878
108B..pool536,104946
108C..pool536,92338
1091..pool203,75930
1092..pool203,83230
1092L..pool604,52444
1092M..pool604,52842
1092N..pool604,102736
1092O..pool676,39980
1092P..pool740,58732
1093..pool203,8948
1094..pool536,124818
1094B..pool754,88266
1095..pool536,72952
1096..pool536,67002
1096C..pool685,109784
1096D..pool685,100982
1097A..pool644,471314
1097B..pool644,164354
1098..pool536,92494
1098F..pool685,80536
1099..pool536,155504
1099A..pool570,62296
1099B..pool570,48544
1099C..pool570,5014
1099D..pool570,60166
1100..pool536,74092
1101..pool536,103234
1101A..pool570,10636
1101B..pool570,35210
1101C..pool570,140346
1101D..pool570,9942
1101E..pool571,172194
1101F..pool571,28758
1101G..pool571,112748
1101H..pool571,13042
1101J..pool571,78832
1101K..pool571,66846
1101M..pool571,178434
1101N..pool571,159766
1101O..pool571,72866
1101P..pool571,141210
1101Q..pool571,58002
1101R..pool571,86760
1101S..pool592,9562
1101T..pool715,300882
1101U..pool715,162292
1102..pool480,3126
1103..pool536,50098
1104..pool536,95984
1105..pool203,113758
1105A..pool571,268672
1105B..pool571,230122
1105C..pool571,227602
1105D..pool571,141388
1105E..pool571,231068
1105F..pool571,129904
1105G..pool571,150090
1105H..pool571,185042
